ETF,stock,weight
VOO,MSFT,0.0717721
VOO,AAPL,0.061691597
VOO,NVDA,0.045619704
VOO,AMZN,0.037527397
VOO,META,0.0253981
VOO,GOOGL,0.0191291
VOO,BRK-B,0.0173899
VOO,GOOG,0.0162546
VOO,LLY,0.0140309
VOO,AVGO,0.0133267995
VTI,MSFT,0.0621841
VTI,AAPL,0.0540188
VTI,NVDA,0.037549
VTI,AMZN,0.0332531
VTI,META,0.0220051
VTI,GOOGL,0.0165744
VTI,BRK-B,0.0147252
VTI,GOOG,0.0137555
VTI,LLY,0.0130276
VTI,AVGO,0.011674699
VEA,ASML.AS,0.0165576
VEA,NOVO-B.CO,0.0165268
VEA,7203.T,0.0127276005
VEA,NESN.SW,0.0122589
VEA,005930.KS,0.0116264
VEA,MC.PA,0.009989399
VEA,NOVN.SW,0.009237099
VEA,SAP.DE,0.0090935
VEA,SHEL.L,0.0090469
VEA,AZN.L,0.0082406
VUG,MSFT,0.128554
VUG,AAPL,0.1116735
VUG,NVDA,0.0776254
VUG,AMZN,0.0687444
VUG,META,0.0454914
VUG,GOOGL,0.0342629
VUG,GOOG,0.0284448
VUG,LLY,0.0269264
VUG,TSLA,0.0228107
VUG,V,0.018115701
VTV,BRK-B,0.0382806
VTV,AVGO,0.0297095
VTV,JPM,0.0276887
VTV,UNH,0.0234995
VTV,XOM,0.0215531
VTV,JNJ,0.0199997
VTV,PG,0.0192833
VTV,MRK,0.0165879
VTV,ABBV,0.0160006
VTV,CVX,0.0140321
VIG,MSFT,0.055857502
VIG,AAPL,0.0398804
VIG,AVGO,0.034981698
VIG,JPM,0.0340116
VIG,UNH,0.0288667
VIG,V,0.0272842
VIG,XOM,0.026473802
VIG,MA,0.0250102
VIG,JNJ,0.024563702
VIG,HD,0.0241745
VWO,2330.TW,0.0633133
VWO,0700.HK,0.0283249
VWO,9988.HK,0.0202224
VWO,RELIANCE.NS,0.0152987
VWO,HDFCBANK.NS,0.0102716
VWO,PDD,0.0097507
VWO,INFY.NS,0.009123299
VWO,00939,0.0074816
VWO,3690.HK,0.0070213997
VWO,2454.TW,0.0069522
VXUS,2330.TW,0.0173065
VXUS,ASML.AS,0.012295901
VXUS,NOVO-B.CO,0.012273099
VXUS,7203.T,0.0094508
VXUS,NESN.SW,0.0091023
VXUS,005930.KS,0.008641399
VXUS,MC.PA,0.0074178
VXUS,0700.HK,0.0071911
VXUS,NOVN.SW,0.0068592
VXUS,SAP.DE,0.0067535
VGT,MSFT,0.182286
VGT,AAPL,0.1640964
VGT,NVDA,0.104302704
VGT,AVGO,0.0420763
VGT,AMD,0.0227601
VGT,CRM,0.0219407
VGT,ADBE,0.018556
VGT,ACN,0.0171922
VGT,CSCO,0.014398299
VGT,INTU,0.0136578
VO,ANET,0.0096389
VO,APH,0.0091205
VO,TDG,0.0086361
VO,PCAR,0.008094099
VO,MSI,0.0076516997
VO,CTAS,0.0075943
VO,CEG,0.0075074
VO,AJG,0.0073488997
VO,WELL,0.0071516
VO,PLTR,0.0068384
VB,SMCI,0.0074979
VB,BLDR,0.0044195
VB,VRT,0.0042572003
VB,DECK,0.0042256997
VB,TRGP,0.0040211002
VB,AXON,0.0040168
VB,PTC,0.0038058
VB,ENTG,0.0037
VB,BAH,0.0035319
VB,RS,0.0033860002
VYM,AVGO,0.0386947
VYM,JPM,0.0370626
VYM,XOM,0.029203702
VYM,JNJ,0.026837101
VYM,HD,0.026278
VYM,PG,0.025811901
VYM,MRK,0.0222872
VYM,ABBV,0.021436501
VYM,CVX,0.017561
VYM,WMT,0.017315399
VEU,2330.TW,0.0150646
VEU,ASML.AS,0.0137831
VEU,NOVO-B.CO,0.0137571
VEU,7203.T,0.0105945
VEU,NESN.SW,0.0102046
VEU,005930.KS,0.0096877
VEU,MC.PA,0.0083164
VEU,0700.HK,0.0080613
VEU,NOVN.SW,0.0076897
VEU,SAP.DE,0.0075704004
VT,MSFT,0.038805798
VT,AAPL,0.033599302
VT,NVDA,0.0236971
VT,AMZN,0.020075299
VT,META,0.013666299
VT,GOOGL,0.0105197
VT,GOOG,0.008697
VT,LLY,0.0080389
VT,BRK-B,0.0079251
VT,AVGO,0.0070674997
VV,MSFT,0.0708503
VV,AAPL,0.061546996
VV,NVDA,0.0427825
VV,AMZN,0.0378877
VV,META,0.0250715
VV,GOOGL,0.0188906
VV,BRK-B,0.0165469
VV,GOOG,0.0156695
VV,LLY,0.014839999
VV,AVGO,0.0133009
VNQ,VRTPX,0.1302723
VNQ,PLD,0.0786685
VNQ,AMT,0.0592238
VNQ,EQIX,0.05331
VNQ,WELL,0.0315007
