"Stock_PERMNO","nameenddt","ticker","comnam"
13721,"19720","ABBV","ABBVIE INC"
57904,"19720","AFL","AFLAC INC"
66800,"19720","AIG","AMERICAN INTERNATIONAL GROUP INC"
14702,"19720","AMAT","APPLIED MATERIALS INC"
89179,"19720","ELV","ELEVANCE HEALTH INC"
93002,"19720","AVGO","BROADCOM INC"
76605,"19720","AZO","AUTOZONE INC"
90720,"19720","BLDR","BUILDERS FIRSTSOURCE INC"
19393,"19720","BMY","BRISTOL MYERS SQUIBB CO"
64186,"19720","CI","CIGNA GROUP"
13928,"19720","COP","CONOCOPHILLIPS"
76076,"19720","CSCO","CISCO SYSTEMS INC"
14541,"19720","CVX","CHEVRON CORP NEW"
75825,"19720","EOG","EOG RESOURCES INC"
81774,"19720","FCX","FREEPORT MCMORAN INC"
77274,"19720","GILD","GILEAD SCIENCES INC"
90319,"19720","GOOGL","ALPHABET INC"
12622,"19720","HCA","H C A HEALTHCARE INC"
49373,"19720","HRB","BLOCK H & R INC"
48653,"19720","HUM","HUMANA INC"
81061,"19720","MCK","MCKESSON H B O C INC"
87842,"19720","MET","METLIFE INC"
76573,"19720","MLI","MUELLER INDUSTRIES INC"
13901,"19720","MO","ALTRIA GROUP INC"
12872,"19720","MPC","MARATHON PETROLEUM CORP"
18312,"19720","MRNA","MODERNA INC"
34817,"19720","NUE","NUCOR CORP"
14229,"19720","OMF","ONEMAIN HOLDINGS INC"
34833,"19720","OXY","OCCIDENTAL PETROLEUM CORP"
21936,"19720","PFE","PFIZER INC"
54148,"19720","PHM","PULTE GROUP INC"
92602,"19720","PM","PHILIP MORRIS INTERNATIONAL INC"
75241,"19720","PXD","PIONEER NATURAL RESOURCES CO"
76614,"19720","REGN","REGENERON PHARMACEUTICALS INC"
13862,"19720","TMHC","TAYLOR MORRISON HOME CORP"
85269,"19720","VLO","VALERO ENERGY CORP NEW"
76744,"19720","VRTX","VERTEX PHARMACEUTICALS INC"
11850,"19720","XOM","EXXON MOBIL CORP"
14714,"19720","ANET","ARISTA NETWORKS INC"
11403,"19720","CDNS","CADENCE DESIGN SYSTEMS INC"
91068,"19720","CMG","CHIPOTLE MEXICAN GRILL INC"
46886,"19720","KLAC","K L A CORP"
50876,"19720","LLY","LILLY ELI & CO"
22752,"19720","MRK","MERCK & CO INC NEW"
79103,"19720","ORLY","O REILLY AUTOMOTIVE INC NEW"
13511,"19720","PANW","PALO ALTO NETWORKS INC"
77357,"19720","SNPS","SYNOPSYS INC"
40539,"19720","TJX","T J X COMPANIES INC NEW"
92655,"19720","UNH","UNITEDHEALTH GROUP INC"
14593,"19720","AAPL","APPLE INC"
14008,"19720","AMGN","AMGEN INC"
11442,"19720","CHCO","CITY HOLDING CO"
23393,"19720","CHD","CHURCH & DWIGHT INC"
89626,"19720","CME","C M E GROUP INC"
23182,"19720","CPK","CHESAPEAKE UTILITIES CORP"
91463,"19720","CVLT","COMMVAULT SYSTEMS INC"
93096,"19720","DG","DOLLAR GENERAL CORP NEW"
90550,"19720","DLB","DOLBY LABORATORIES INC"
75828,"19720","EA","ELECTRONIC ARTS INC"
70703,"19720","EQC","EQUITY COMMONWEALTH"
83509,"19720","FCN","F T I CONSULTING INC"
90409,"19720","HURN","HURON CONSULTING GROUP INC"
12490,"19720","IBM","INTERNATIONAL BUSINESS MACHS COR"
45306,"19720","IDCC","INTERDIGITAL INC"
22111,"19720","JNJ","JOHNSON & JOHNSON"
21178,"19720","LMT","LOCKHEED MARTIN CORP"
43449,"19720","MCD","MCDONALDS CORP"
72338,"19720","NHC","NATIONAL HEALTHCARE CORP"
24766,"19720","NOC","NORTHROP GRUMMAN CORP"
82598,"19720","NTAP","NETAPP INC"
85488,"19720","OSIS","O S I SYSTEMS INC"
18163,"19720","PG","PROCTER & GAMBLE CO"
77338,"19720","ROP","ROPER TECHNOLOGIES INC"
86228,"19720","RSG","REPUBLIC SERVICES INC"
89575,"19720","SAFT","SAFETY INSURANCE GROUP INC"
91907,"19720","SMCI","SUPER MICRO COMPUTER INC"
77379,"19720","THFF","FIRST FINANCIAL CORP IN"
91937,"19720","TMUS","T MOBILE U S INC"
15579,"19720","TXN","TEXAS INSTRUMENTS INC"
65875,"19720","VZ","VERIZON COMMUNICATIONS INC"
20190,"19720","ABNB","AIRBNB INC"
75510,"19720","ADBE","ADOBE INC"
44644,"19720","ADP","AUTOMATIC DATA PROCESSING INC"
85631,"19720","ADSK","AUTODESK INC"
59176,"19720","AXP","AMERICAN EXPRESS CO"
86783,"19720","BKNG","BOOKING HOLDINGS INC"
18729,"19720","CL","COLGATE PALMOLIVE CO"
87055,"19720","COST","COSTCO WHOLESALE CORP NEW"
23660,"19720","CTAS","CINTAS CORP"
82642,"19720","EL","LAUDER ESTEE COS INC"
93132,"19720","FTNT","FORTINET INC"
17750,"19720","KMB","KIMBERLY CLARK CORP"
48486,"19720","LRCX","LAM RESH CORP"
92203,"19720","LULU","LULULEMON ATHLETICA INC"
22592,"19720","MMM","3M CO"
82777,"19720","MSM","M S C INDUSTRIAL DIRECT INC"
57665,"19720","NKE","NIKE INC"
61621,"19720","PAYX","PAYCHEX INC"
13856,"19720","PEP","PEPSICO INC"
77178,"19720","QCOM","QUALCOMM INC"
51369,"19720","TER","TERADYNE INC"
49154,"19720","TGT","TARGET CORP"
55976,"19720","WMT","WALMART INC"
10516,"19720","ADM","ARCHER DANIELS MIDLAND CO"
59408,"19720","BAC","BANK OF AMERICA CORP"
70519,"19720","C","CITIGROUP INC"
12308,"19720","CHTR","CHARTER COMMUNICATIONS INC NEW"
89525,"19720","CMCSA","COMCAST CORP NEW"
89269,"19720","CNC","CENTENE CORP DEL"
81055,"19720","COF","CAPITAL ONE FINANCIAL CORP"
17005,"19720","CVS","C V S HEALTH CORP"
25785,"19720","F","FORD MOTOR CO DEL"
60628,"19720","FDX","FEDEX CORP"
89003,"19720","FIS","FIDELITY NATIONAL INFO SVCS INC"
10696,"19720","FI","FISERV INC"
12369,"19720","GM","GENERAL MOTORS CO"
15707,"19720","HPE","HEWLETT PACKARD ENTERPRISE CO"
27828,"19720","HPQ","H P INC"
47896,"19720","JPM","JPMORGAN CHASE & CO"
15408,"19720","KHC","KRAFT HEINZ CO"
14580,"19720","MGNI","MAGNITE INC"
89258,"19720","PRU","PRUDENTIAL FINANCIAL INC"
13356,"19720","PSX","PHILLIPS 66"
27633,"19720","R","RYDER SYSTEMS INC"
42585,"19720","SJM","SMUCKER J M CO"
66093,"19720","T","A T & T INC"
71563,"19720","TFC","TRUIST FINANCIAL CORP"
70228,"19720","TOL","TOLL BROTHERS INC"
66157,"19720","USB","U S BANCORP DEL"
38703,"19720","WFC","WELLS FARGO & CO NEW"
19561,"19720","BA","BOEING CO"
90664,"19720","DXCM","DEXCOM INC"
10104,"19720","ORCL","ORACLE CORP"
