"","permno","nameenddt","ticker","comnam","permco"
"1",87432,2023-12-29,"A","AGILENT TECHNOLOGIES INC",36364
"2",16347,2023-12-29,"AA","ALCOA CORP",55718
"3",23483,2023-12-29,"AAA","INVESTMENT MANAGERS SERIES TR II",59239
"4",86352,2003-01-29,"AAAB","ADMIRALTY BANCORP INC",16287
"5",86352,2001-08-12,"AAABB","ADMIRALTY BANCORP INC",16287
"6",68655,1976-06-30,"AAAC","AMERICAN ARTS & CRAFT",4168
"7",15829,2018-02-09,"AAAP","ADVANCED ACCEL APPLICATIONS S A",55475
"8",18035,2023-12-29,"AAAU","GOLDMAN SACHS PHYSICAL GOLD ETF",56478
"9",83437,1999-04-05,"AAB","ASTRA AB",31627
"10",16752,2019-10-02,"AABA","ALTABA INC",55964
"11",10650,2006-01-03,"AABC","ACCESS ANYTIME BANCORP",8552
"12",20744,2023-11-06,"AAC","ARES ACQUISITION CORP",57893
"13",82805,2005-07-07,"AACB","ALLIANCE ATLANTIS COMMS INC",31408
"14",90020,2013-06-13,"AACC","ASSET ACCEPTANCE CAPITAL CORP",44876
"15",78112,2006-10-05,"AACE","ACE CASH EXPRESS INC",11825
"16",92520,2023-12-29,"AACG","A T A CREATIVITY GLOBAL",52917
"17",22271,2023-12-29,"AACI","ARMADA ACQUISITION CORP I",58639
"18",82661,1997-11-07,"AACIB","ALL AMERICAN COMMUNICATIONS INC",7916
"19",19808,2021-06-24,"AACQ","ARTIUS ACQUISITION INC",57162
"20",23993,2023-12-29,"AACT","ARES ACQUISITION CORP II",59540
"21",39503,1973-05-10,"AAD","ARLANS DEPARTMENT STORES INC",24391
"22",17869,2023-12-29,"AADI","AADI BIOSCIENCE INC",56397
"23",10113,2023-12-29,"AADR","ADVISORSHARES TRUST",53202
"24",77431,1998-04-01,"AADV","ADVANTAGE BANCORP INC",11423
"25",26227,1984-09-14,"AAE","AMERACE CORP",23394
"26",75325,1998-08-24,"AAF","AMERICAN GOVERNMENT INC PORT INC",20079
"27",84286,1998-07-16,"AAFG","ALL AMERICAN FOOD GROUP INC",15218
"28",75188,2000-06-18,"AAG","AMERICAN ANNUITY GROUP INC",21651
"29",85279,1987-08-17,"AAGC","ALL AMERICAN GOURMET CO",7740
"30",86340,2002-12-30,"AAGI","ASSOCIATED AUTOMOTIVE GROUP INC",16251
"31",14403,1999-05-21,"AAGIY","ANGLO AMERICAN GOLD INVT LTD",2
"32",81595,2000-10-29,"AAGP","ACTIVE APPAREL GROUP INC",13706
