PERMNO,ticker,company,sector,industry,country
14593,AAPL,APPLE INC,Technology,Consumer Electronics,United States
10107,MSFT,MICROSOFT CORP,Technology,Software - Infrastructure,United States
84788,AMZN,AMAZON COM INC,Consumer Cyclical,Internet Retail,United States
11533,FICO,FAIR ISAAC CORP,Technology,Software - Application,United States
87006,UTHR,UNITED THERAPEUTICS CORP,Healthcare,Biotechnology,United States
32942,HUBB,HUBBELL INC,Industrials,Electrical Equipment & Parts,United States
80864,RS,RELIANCE STEEL & ALUMINUM CO,Basic Materials,Steel,United States
89031,AXON,AXON ENTERPRISE INC,Industrials,Aerospace & Defense,United States
75854,LSCC,LATTICE SEMICONDUCTOR CORP,Technology,Semiconductors,United States
90720,BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Building Products & Equipment,United States
79686,DECK,DECKERS OUTDOOR CORP,Consumer Cyclical,Footwear & Accessories,United States
27334,CSL,CARLISLE COMPANIES,Industrials,Building Products & Equipment,United States
36397,FHN,FIRST HORIZON CORP,Financial Services,Banks - Regional,United States
79094,JBL,JABIL INC,Technology,Electronic Components,United States
79210,RGA,REINSURANCE GROUP OF AMERICA INC,Financial Services,Insurance - Reinsurance,United States
27422,CLF,CLEVELAND CLIFFS INC NEW,Basic Materials,Steel,United States
90870,RBC,R B C BEARINGS INC,Industrials,Tools & Accessories,United States
78947,ELS,EQUITY LIFESTYLE PROPERTIES INC,Real Estate,REIT - Residential,United States
85763,WPC,W P CAREY INC,Real Estate,REIT - Diversified,United States
90925,FNF,FIDELITY NATIONAL FINL INC NEW,Financial Services,Insurance - Specialty,United States
76644,X,UNITED STATES STEEL CORP NEW,Basic Materials,Steel,United States
92655,UNH,UNITEDHEALTH GROUP INC,Healthcare,Healthcare Plans,United States
22111,JNJ,JOHNSON & JOHNSON,Healthcare,Drug Manufacturers - General,United States
11850,XOM,EXXON MOBIL CORP,Energy,Oil & Gas Integrated,United States
83443,BRK-B,Berkshire Hathaway Inc Class B,Financial Services,Insurance - Diversified,United States
17778,BRK,BERKSHIRE HATHAWAY INC DEL,N/A,N/A,N/A
47896,JPM,JPMORGAN CHASE & CO,Financial Services,Banks - Diversified,United States
93002,AVGO,BROADCOM INC,Technology,Semiconductors,United States
